                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                  1.141,                0.57066,                 1.0617,                0.99261,                0.90323,                 0.9578,                0.68564,                 1.0557,                0.50029,                 1.1177,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1325,                0.56546,                 1.0661,                0.99243,                0.90568,                0.95818,                0.68439,                 1.0524,                0.49776,                 1.1124,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1311,                0.56615,                 1.0593,                0.99246,                0.90997,                0.96231,                0.69752,                 1.0483,                0.49069,                 1.1165,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1256,                 0.5653,                 1.0589,                0.98994,                0.90701,                0.95776,                 0.6895,                 1.0597,                0.48706,                 1.1242,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1229,                0.56115,                 1.0611,                0.99745,                0.90285,                0.95698,                0.68553,                 1.0657,                0.49362,                 1.1158,               0.000614,               0.000614,               0.000614
                     72,                  1.128,                0.56097,                 1.0595,                0.99427,                0.90323,                 0.9604,                0.69342,                 1.0368,                0.48824,                  1.109,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1174,                0.55445,                 1.0516,                0.98751,                0.91115,                0.96731,                0.69995,                 1.0274,                0.47968,                 1.1025,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1136,                0.54881,                 1.0523,                0.99494,                0.90674,                 0.9637,                 0.6923,                 1.0332,                0.48886,                 1.1057,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.1099,                0.54721,                 1.0514,                0.99496,                0.90926,                0.96011,                0.69703,                 1.0262,                0.48711,                 1.0996,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1132,                0.55593,                  1.049,                0.99494,                0.90551,                0.96329,                0.68937,                 1.0381,                0.48241,                 1.1017,               0.000515,               0.000515,               0.000515
                     77,                 1.1053,                0.55008,                 1.0525,                0.99497,                0.91241,                0.96089,                0.68816,                 1.0446,                0.49132,                 1.1104,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1034,                0.54089,                 1.0533,                0.99416,                0.91244,                0.96324,                0.69126,                 1.0471,                0.48536,                 1.1092,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0988,                0.53944,                 1.0457,                0.99632,                0.91244,                 0.9636,                0.69324,                 1.0404,                0.47468,                 1.1041,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0991,                0.53986,                 1.0465,                0.99604,                0.90783,                0.96112,                0.70212,                 1.0202,                0.47305,                 1.0936,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0896,                0.53607,                 1.0467,                0.99666,                0.90783,                 0.9628,                0.69848,                 1.0268,                0.47612,                 1.0943,               0.000416,               0.000416,               0.000416
                     82,                 1.0861,                0.53649,                   1.04,                0.99421,                0.90783,                0.96547,                0.69888,                 1.0305,                0.47771,                 1.1022,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0889,                0.53166,                 1.0394,                0.99598,                0.90783,                0.96597,                0.69976,                 1.0309,                0.47565,                 1.0969,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.076,                0.53013,                 1.0369,                0.99677,                0.90783,                0.96647,                0.69845,                 1.0338,                0.47067,                 1.0973,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0797,                0.53068,                 1.0364,                0.99498,                0.91287,                0.96896,                0.70439,                 1.0241,                0.46281,                 1.1018,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0744,                0.53002,                 1.0414,                0.99563,                0.90783,                0.96671,                  0.697,                 1.0354,                 0.4702,                 1.1035,               0.000317,               0.000317,               0.000317
                     87,                 1.0694,                0.52303,                  1.032,                   0.99,                0.91258,                0.96618,                0.70423,                 1.0215,                0.46577,                 1.0946,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0612,                0.52369,                 1.0365,                0.99414,                0.91014,                0.96694,                0.69633,                 1.0376,                0.46873,                 1.1013,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0564,                0.51691,                 1.0351,                0.99748,                0.91056,                0.96648,                0.69969,                 1.0256,                0.46441,                 1.0953,              0.0002576,              0.0002576,              0.0002576
                     90,                0.98784,                0.46923,                 1.0662,                0.99493,                0.90373,                0.96802,                0.69941,                 1.0367,                0.46797,                 1.1046,              0.0002378,              0.0002378,              0.0002378
                     91,                0.97679,                0.45867,                 1.0651,                0.99156,                0.90553,                0.96562,                0.70226,                 1.0164,                0.46826,                 1.0909,               0.000218,               0.000218,               0.000218
                     92,                0.97363,                0.45786,                 1.0628,                0.99164,                0.90553,                0.96683,                0.70505,                 1.0183,                0.47242,                 1.0913,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.9693,                0.45341,                 1.0615,                0.99361,                0.90323,                0.96462,                0.70415,                 1.0176,                0.46534,                 1.0912,              0.0001784,              0.0001784,              0.0001784
                     94,                0.96884,                0.45808,                 1.0605,                0.99555,                0.90783,                0.96825,                0.70135,                 1.0267,                 0.4641,                 1.0979,              0.0001586,              0.0001586,              0.0001586
                     95,                0.96807,                0.45004,                 1.0587,                0.99093,                0.90553,                0.96758,                 0.7036,                 1.0228,                0.46725,                 1.0976,              0.0001388,              0.0001388,              0.0001388
                     96,                0.95016,                0.44819,                 1.0533,                0.99745,                0.90783,                0.96811,                0.70209,                 1.0227,                0.46354,                 1.0943,               0.000119,               0.000119,               0.000119
                     97,                0.94705,                0.44276,                 1.0493,                0.99314,                0.90553,                0.96866,                0.70717,                 1.0177,                0.46153,                 1.0922,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.94844,                0.44497,                 1.0511,                0.99465,                0.91014,                0.97075,                0.71076,                 1.0178,                0.45535,                 1.0905,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.95081,                0.44126,                 1.0473,                0.99386,                0.91014,                0.96925,                0.70865,                 1.0159,                0.45918,                 1.0902,               5.96e-05,               5.96e-05,               5.96e-05
