                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.1188,                0.99084,                 1.2135,                0.74155,                0.93386,                0.72298,                0.54428,                0.84875,                0.71138,                 1.1281,             0.00021471,             0.00021471,             0.00021471
                     90,                0.96527,                0.78865,                 1.2003,                0.73859,                0.92899,                0.71949,                0.54242,                0.84295,                0.71639,                 1.1268,             0.00019821,             0.00019821,             0.00019821
                     91,                0.94804,                0.75913,                 1.1865,                0.73981,                0.93599,                0.73982,                 0.5641,                0.83522,                0.70325,                 1.1255,              0.0001817,              0.0001817,              0.0001817
                     92,                0.94328,                 0.7605,                 1.1817,                 0.7367,                0.93231,                0.72137,                0.54769,                0.81566,                0.71073,                 1.1151,              0.0001652,              0.0001652,              0.0001652
                     93,                0.93507,                0.75348,                 1.1766,                0.73707,                0.93295,                0.72098,                0.54688,                 0.8224,                0.71226,                 1.1156,              0.0001487,              0.0001487,              0.0001487
                     94,                0.92575,                0.74966,                 1.1738,                0.73836,                0.93304,                0.72214,                0.54628,                0.81681,                0.70633,                 1.1126,             0.00013219,             0.00013219,             0.00013219
                     95,                0.92702,                0.74971,                 1.1735,                 0.7365,                0.93386,                0.72077,                0.54788,                0.81565,                0.70633,                 1.1117,             0.00011569,             0.00011569,             0.00011569
                     96,                0.92181,                0.74524,                 1.1675,                0.73712,                0.93271,                0.72516,                0.55307,                0.81476,                 0.7019,                 1.1121,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.91584,                0.74306,                 1.1621,                0.73404,                0.93271,                0.72191,                0.54791,                0.81647,                0.70667,                 1.1116,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.91065,                0.74234,                 1.1661,                0.74054,                 0.9332,                0.72266,                 0.5511,                0.81664,                0.69777,                 1.1109,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.90962,                0.73948,                 1.1613,                0.73684,                0.93394,                0.72274,                 0.5531,                0.81102,                0.69479,                 1.1075,             4.9677e-05,             4.9677e-05,             4.9677e-05
