                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.90783,                0.43853,                0.96657,                0.98905,                0.92627,                0.97866,                0.74881,                0.91856,                0.38118,                 1.0578,              0.0083566,              0.0083566,              0.0083566
                     86,                0.91725,                0.43836,                0.96997,                0.99251,                 0.9163,                0.97895,                0.75395,                0.92176,                0.37651,                 1.0493,              0.0083368,              0.0083368,              0.0083368
                     87,                0.91112,                0.44221,                0.97147,                0.99011,                0.92277,                0.97854,                0.75795,                0.91891,                0.38011,                 1.0598,               0.008317,               0.008317,               0.008317
                     88,                0.89891,                0.43377,                0.96487,                 0.9901,                0.92137,                0.97979,                0.74925,                 0.9093,                 0.3754,                 1.0564,              0.0082972,              0.0082972,              0.0082972
                     89,                0.89918,                 0.4276,                0.97217,                0.99501,                0.91932,                 0.9827,                0.75976,                0.92189,                0.37618,                 1.0609,              0.0082774,              0.0082774,              0.0082774
                     90,                 0.8965,                0.42945,                0.96866,                0.99257,                0.92374,                0.98226,                0.75613,                 0.9082,                0.37813,                 1.0452,              0.0082576,              0.0082576,              0.0082576
                     91,                  0.908,                0.43225,                0.96899,                0.99738,                0.92166,                0.98269,                0.75253,                0.92398,                0.37817,                 1.0518,              0.0082378,              0.0082378,              0.0082378
                     92,                0.88875,                0.42527,                 0.9629,                0.99293,                0.92396,                0.98565,                0.75651,                0.90376,                0.36907,                 1.0486,               0.008218,               0.008218,               0.008218
                     93,                0.89221,                 0.4284,                0.96045,                 0.9999,                0.91935,                0.98251,                0.75427,                0.91535,                0.37161,                 1.0536,              0.0081982,              0.0081982,              0.0081982
                     94,                0.89212,                0.42932,                0.96586,                0.99967,                0.92166,                0.98183,                0.74782,                0.92376,                0.37693,                  1.065,              0.0081784,              0.0081784,              0.0081784
                     95,                 0.8872,                0.42343,                0.96852,                0.99341,                0.91935,                0.97906,                0.75764,                0.89569,                0.37408,                 1.0415,              0.0081586,              0.0081586,              0.0081586
                     96,                0.88527,                0.42269,                0.96064,                0.99995,                0.92166,                0.98145,                0.75096,                0.91775,                0.38233,                  1.061,              0.0081388,              0.0081388,              0.0081388
                     97,                0.88302,                0.42494,                0.96204,                0.99253,                0.91862,                0.98068,                0.75818,                0.90368,                0.37568,                 1.0517,               0.008119,               0.008119,               0.008119
                     98,                0.88649,                 0.4282,                 0.9625,                0.99749,                0.91666,                0.98095,                0.75318,                0.91499,                0.37162,                 1.0549,              0.0080992,              0.0080992,              0.0080992
                     99,                0.88102,                0.42117,                0.95602,                0.99694,                0.92166,                0.98357,                0.75583,                0.92386,                0.37765,                 1.0638,              0.0080794,              0.0080794,              0.0080794
