                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.94541,                 0.4538,                0.98036,                0.97599,                0.93669,                0.97913,                0.75058,                0.91499,                    0.4,                 1.0483,              0.0003962,              0.0003962,              0.0003962
                     84,                0.94202,                0.44924,                 0.9753,                0.99641,                0.91935,                0.97885,                0.74977,                0.90751,                0.40385,                 1.0381,              0.0003764,              0.0003764,              0.0003764
                     85,                0.93563,                0.44452,                0.97429,                0.99575,                0.92166,                0.97952,                0.75075,                0.92288,                0.40826,                 1.0446,              0.0003566,              0.0003566,              0.0003566
                     86,                0.93502,                0.44658,                0.97232,                0.99685,                0.91935,                0.98022,                 0.7545,                0.91652,                0.39946,                 1.0471,              0.0003368,              0.0003368,              0.0003368
                     87,                0.93587,                0.44894,                0.97686,                0.99502,                0.92158,                0.97804,                0.74517,                0.91936,                0.40403,                 1.0408,               0.000317,               0.000317,               0.000317
                     88,                0.92602,                0.44277,                0.97321,                0.99503,                 0.9224,                0.97877,                0.75463,                 0.9024,                0.40101,                 1.0344,              0.0002972,              0.0002972,              0.0002972
                     89,                0.91258,                0.43695,                0.97116,                0.99729,                0.91935,                0.97925,                0.75078,                0.91696,                0.39993,                 1.0404,              0.0002774,              0.0002774,              0.0002774
                     90,                0.91128,                0.43551,                0.96875,                0.99637,                0.92166,                0.98095,                0.75162,                0.91158,                0.39672,                 1.0433,              0.0002576,              0.0002576,              0.0002576
                     91,                0.86349,                0.40303,                0.99604,                0.99014,                0.92627,                0.98261,                0.75119,                0.91829,                0.39932,                 1.0461,              0.0002378,              0.0002378,              0.0002378
                     92,                0.85727,                0.39924,                0.99455,                0.99982,                0.91935,                0.98255,                   0.75,                  0.916,                0.39869,                 1.0431,               0.000218,               0.000218,               0.000218
                     93,                0.85253,                0.39405,                0.98835,                0.99955,                0.92166,                0.98033,                0.75203,                0.91285,                 0.3988,                 1.0415,              0.0001982,              0.0001982,              0.0001982
                     94,                0.84289,                0.39011,                 0.9886,                0.99751,                0.92438,                0.98117,                0.75525,                0.91357,                0.39457,                 1.0442,              0.0001784,              0.0001784,              0.0001784
                     95,                0.84652,                0.39203,                0.98711,                0.99673,                0.92396,                0.98283,                0.75154,                0.92696,                0.39389,                 1.0513,              0.0001586,              0.0001586,              0.0001586
                     96,                0.83891,                0.38901,                0.98359,                0.99937,                0.92396,                0.98056,                 0.7549,                  0.915,                0.39523,                  1.046,              0.0001388,              0.0001388,              0.0001388
                     97,                0.83004,                0.38546,                0.97996,                0.99966,                0.92396,                0.98163,                0.75497,                0.90847,                0.39343,                 1.0405,               0.000119,               0.000119,               0.000119
                     98,                 0.8303,                0.38188,                0.97746,                0.99789,                0.92396,                0.98382,                0.75559,                0.91611,                0.39355,                 1.0443,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.8229,                0.38236,                0.97752,                0.99752,                0.92572,                0.98348,                0.75529,                0.91372,                0.39031,                 1.0427,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.82228,                0.38075,                0.97701,                0.99752,                 0.9258,                0.98356,                0.75608,                0.91489,                0.39404,                 1.0442,               5.96e-05,               5.96e-05,               5.96e-05
